iter,alpha,state,ncraig,ipm_status,mu,rho,force_tol,floor_tol,sigma2min,pstat,cstat,wstat,pbase,prefn,cbase,crefn,wbase,wrefn,pres0,pres1,cres0,cres1,wres0,wres1,chosen
1,1.000000e+00,0,6,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,2,0,2,0,1.176443e-02,NaN,6.480447e-03,NaN,7.926347e-03,NaN,false
1,3.162000e+00,0,6,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,2,0,2,0,1.474381e-03,NaN,8.355987e-04,NaN,9.952688e-04,NaN,false
1,1.000000e+01,0,6,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,2,0,2,0,1.569097e-04,NaN,8.592534e-05,NaN,1.060083e-04,NaN,false
1,3.162000e+01,0,4,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,1,0,1,0,5.221014e-03,NaN,7.460379e-03,NaN,2.525332e-03,NaN,false
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,2.562366e-03,NaN,2.434225e-03,NaN,8.156072e-04,NaN,true
1,3.162000e+02,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,8.156164e-04,NaN,7.812589e-04,NaN,2.596984e-04,NaN,false
1,1.000000e+03,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,2.584279e-04,NaN,2.481918e-04,NaN,8.229403e-05,NaN,false
1,3.162000e+03,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,8.178239e-05,NaN,7.860827e-05,NaN,2.604373e-05,NaN,false
1,1.000000e+04,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,2.586491e-05,NaN,2.486758e-05,NaN,8.236809e-06,NaN,false
1,3.162000e+04,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,8.180453e-06,NaN,7.865673e-06,NaN,2.605114e-06,NaN,false
1,1.000000e+05,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,2.586712e-06,NaN,2.487241e-06,NaN,8.237550e-07,NaN,false
1,3.162000e+05,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,8.180674e-07,NaN,7.866290e-07,NaN,2.605189e-07,NaN,false
1,1.000000e+06,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,2.586735e-07,NaN,2.487442e-07,NaN,8.237624e-08,NaN,false
1,3.162000e+06,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,8.180697e-08,NaN,7.861678e-08,NaN,2.605196e-08,NaN,false
1,1.000000e+07,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,2.586737e-08,NaN,2.506266e-08,NaN,8.237632e-09,NaN,false
1,3.162000e+07,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,8.180699e-09,NaN,8.370022e-09,NaN,2.605197e-09,NaN,false
1,1.000000e+08,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,2.706026e-09,NaN,3.844513e-09,NaN,1.411536e-09,NaN,false
1,3.162000e+08,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735981e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,1.210732e-08,NaN,1.720111e-08,NaN,2.002889e-09,NaN,false
1,1.000000e+09,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735980e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,1.496524e-08,NaN,2.126141e-08,NaN,5.096820e-09,NaN,false
1,3.162000e+09,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735980e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,3.604038e-08,NaN,5.120329e-08,NaN,1.139977e-08,NaN,false
1,1.000000e+10,0,3,CONTINUE,1.000000e+00,1.000000e-09,1.000000e-01,4.784396e-14,7.735964e-01,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,1.021510e-07,NaN,1.387786e-07,NaN,6.908370e-08,NaN,false
2,1.000000e+00,0,15,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516424e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,5,0,4,0,6,0,3.364231e-03,NaN,3.488509e-03,NaN,1.892178e-03,NaN,false
2,3.162000e+00,0,11,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,4,0,3,0,4,0,2.715324e-03,NaN,7.517262e-04,NaN,1.610760e-03,NaN,false
2,1.000000e+01,0,8,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,3,0,2,0,3,0,4.818025e-04,NaN,1.073655e-03,NaN,3.953863e-04,NaN,false
2,3.162000e+01,0,6,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,2,0,2,0,6.547616e-04,NaN,5.401463e-04,NaN,4.015866e-04,NaN,false
2,1.000000e+02,0,4,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,2,0,1,0,1,0,5.663070e-04,NaN,8.183127e-04,NaN,1.046606e-03,NaN,false
2,3.162000e+02,0,3,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,4.904739e-04,NaN,2.993795e-04,NaN,3.651164e-04,NaN,true
2,1.000000e+03,0,3,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,1.601979e-04,NaN,9.506626e-05,NaN,1.195242e-04,NaN,false
2,3.162000e+03,0,3,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,5.120757e-05,NaN,3.047718e-05,NaN,3.823344e-05,NaN,false
2,1.000000e+04,0,3,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,1.624737e-05,NaN,9.690440e-06,NaN,1.213362e-05,NaN,false
2,3.162000e+04,0,3,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,5.143911e-06,NaN,3.070068e-06,NaN,3.841774e-06,NaN,false
2,1.000000e+05,0,3,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,1.627065e-06,NaN,9.712993e-07,NaN,1.215215e-06,NaN,false
2,3.162000e+05,0,3,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,5.146244e-07,NaN,3.072292e-07,NaN,3.843631e-07,NaN,false
2,1.000000e+06,0,3,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,1.627298e-07,NaN,9.716765e-08,NaN,1.215401e-07,NaN,false
2,3.162000e+06,0,3,CONTINUE,1.238683e-01,1.000000e-09,1.238683e-02,2.530080e-14,3.516400e-02,REACHED_FORCE,REACHED_FORCE,REACHED_FORCE,1,0,1,0,1,0,5.146477e-08,NaN,3.072317e-08,NaN,3.843816e-08,NaN,false
