iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,chosen
1,1.000000e+00,0,5,CONTINUE,2.309401e+00,2.618609e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.537669e+00,2.396757e+00,2.372789e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,2,0,0,,,,3.461742e-03,NaN,3.657457e-03,NaN,,,9.992607e-01,7.362914e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+00,0,4,CONTINUE,2.309401e+00,2.623055e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.514537e+00,2.424107e+00,2.399866e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,4.449068e-03,NaN,5.645173e-04,NaN,,,5.897578e-01,4.427489e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+01,0,4,CONTINUE,2.309401e+00,2.614236e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.507024e+00,2.455872e+00,2.431313e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,2,0,0,,,,5.419646e-04,NaN,1.071864e-04,NaN,,,2.601609e-01,2.006004e-01,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+01,0,2,CONTINUE,2.309401e+00,2.707627e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.502658e+00,2.396560e+00,2.372595e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.723779e-03,NaN,1.330721e-03,NaN,,,9.422299e-02,6.467596e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,true
1,1.000000e+02,0,2,CONTINUE,2.309401e+00,2.646617e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.504839e+00,2.439467e+00,2.415072e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,8.906777e-04,NaN,4.322457e-04,NaN,,,3.123581e-02,2.331639e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+02,0,2,CONTINUE,2.309401e+00,2.624431e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.505301e+00,2.456580e+00,2.432014e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.848082e-04,NaN,1.379210e-04,NaN,,,1.003237e-02,7.693408e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+03,0,2,CONTINUE,2.309401e+00,2.617090e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.505422e+00,2.462431e+00,2.437807e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,9.037531e-05,NaN,4.373525e-05,NaN,,,3.187953e-03,2.465742e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+03,0,2,CONTINUE,2.309401e+00,2.614736e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.505458e+00,2.464329e+00,2.439685e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.861379e-05,NaN,1.384406e-05,NaN,,,1.009790e-03,7.831498e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,1.000000e+04,0,2,CONTINUE,2.309401e+00,2.613988e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.505469e+00,2.464933e+00,2.440284e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,9.050897e-06,NaN,4.378749e-06,NaN,,,3.194541e-04,2.479677e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
1,3.162000e+04,0,2,CONTINUE,2.309401e+00,2.613751e-01,1.000000e-09,1.000000e-01,8.141636e-14,3.349778e-01,9.900000e-01,,,9.505473e+00,2.465125e+00,2.440474e+00,1.250000e-01,2.985272e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,2.862718e-06,NaN,1.384929e-06,NaN,,,1.010450e-04,7.845477e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,false
