iter,alpha,alpha_ctrl,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,normB,step,ipm_pres,ipm_dres,pbase,prefn,ppass,pstat,cbase,crefn,cpass,cstat,wbase,wrefn,wpass,wstat,pfres,ppres,pdres,cfres,cpres,cdres,wfres,wpres,wdres,chosen
1,1.000000000000000e+00,4.650408328427438e+05,0,5,CONTINUE,1.000000000000000e+00,6.217340223744557e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,4,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,3.014430317809484e+00,4.808746425657073e-02,3.873149173250695e-16,4.608645602029311e-02,1.575530655387736e-02,7.518466042192525e-16,,,,false
1,3.162000000000000e+00,4.650408328427438e+05,0,4,CONTINUE,1.000000000000000e+00,6.382348894992160e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,3,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,2.045284543427640e+00,7.565755020669362e-03,1.845441664901802e-15,3.129025551507732e-02,9.063402730966175e-03,1.640392591023824e-15,,,,false
1,1.000000000000000e+01,4.650408328427438e+05,0,4,CONTINUE,1.000000000000000e+00,6.610496161519999e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,3,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,1.139955310603596e+00,3.194514187108144e-04,3.645316868941830e-15,1.776892457137720e-02,4.570931748941298e-03,6.789402668404159e-15,,,,false
1,3.162000000000000e+01,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,6.797968943127820e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,4.833549270173495e-01,2.788505802274521e-03,1.166501398061386e-14,7.461574711668536e-03,1.850816438882408e-03,2.214529997882162e-14,,,,false
1,1.000000000000000e+02,4.650408328427438e+05,0,3,CONTINUE,1.000000000000000e+00,6.893358831809653e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,1.715896064118425e-01,2.905855475630048e-04,3.572410531562994e-14,2.678581311066935e-03,6.508179139541603e-04,3.021056355135542e-14,,,,false
1,3.162000000000000e+02,4.650408328427438e+05,0,2,CONTINUE,1.000000000000000e+00,6.526794727420662e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,5.646555006116240e-02,1.360542192005143e-02,6.780289376231805e-14,5.827612806059447e-04,1.489363724562764e-04,2.330268808471065e-13,,,,true
1,1.000000000000000e+03,4.650408328427438e+05,0,2,CONTINUE,1.000000000000000e+00,6.808123931926055e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,1.808653956547586e-02,4.351626590602287e-03,3.834873346126806e-13,2.535444182772435e-04,6.196863271190622e-05,2.970477583578974e-13,,,,false
1,3.162000000000000e+03,4.650408328427438e+05,0,2,CONTINUE,1.000000000000000e+00,6.900444332653630e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,5.743587570543480e-03,1.381270504923204e-03,1.778550100356719e-12,8.698262373976286e-05,2.105619835823802e-05,2.329995409705894e-12,,,,false
1,1.000000000000000e+04,4.650408328427438e+05,0,2,CONTINUE,1.000000000000000e+00,6.929973485900434e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,1.818497658675762e-03,4.372649866888345e-04,3.040946115301706e-12,2.818070411985247e-05,6.803232600827158e-06,2.065208705638132e-12,,,,false
1,3.162000000000000e+04,4.650408328427438e+05,0,2,CONTINUE,1.000000000000000e+00,6.939373181652918e-02,0.000000000000000e+00,1.000000000000000e-01,1.776356839400250e-13,2.019900987672415e+01,9.900000000000000e-01,3.500000000000000e+00,2.000169843425989e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,,,,,5.753478746940260e-04,1.383382810811185e-04,9.477117579105401e-12,8.978382600299798e-06,2.165705924372929e-06,6.333851975938585e-12,,,,false
