iter,alpha,alpha_ctrl,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,normB,step,ipm_pres,ipm_dres,pbase,prefn,ppass,pstat,cbase,crefn,cpass,cstat,wbase,wrefn,wpass,wstat,pfres,ppres,pdres,cfres,cpres,cdres,wfres,wpres,wdres,chosen
1,1.000000000000000e+00,7.269914469404012e+05,0,4,CONTINUE,1.000000000000000e+00,1.220888940668702e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,8.975576832717369e-01,1.103143684135383e+01,3.513020402237583e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,4.442917755072214e-01,4.966386022934621e-02,1.212204970904882e-15,9.811249179444093e-02,4.118490096928529e-02,1.212204970904882e-15,8.293259937219402e-02,4.594719039748612e-02,3.346190805102017e-16,false
1,3.162000000000000e+00,7.269914469404012e+05,0,4,CONTINUE,1.000000000000000e+00,1.190051682554941e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.007135770716191e-01,1.103143684135383e+01,3.513020402237583e+00,2,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.666965690502325e-01,1.866772581023035e-02,2.424409941809764e-15,3.632586241160507e-02,1.979209970462925e-02,2.525427022718504e-15,3.374511864688259e-02,1.844315797516778e-02,9.596622686330313e-16,false
1,1.000000000000000e+01,7.269914469404012e+05,0,3,CONTINUE,1.000000000000000e+00,1.185711579701175e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.012352692982906e-01,1.103143684135383e+01,3.513020402237583e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.604544687057565e-02,2.288119080978035e-02,1.126340452132453e-14,1.077907800224976e-02,6.881161254248314e-03,8.788486039060393e-15,1.183785265493797e-02,6.682946929807865e-03,2.632757671184040e-15,true
1,3.162000000000000e+01,7.269914469404012e+05,0,3,CONTINUE,1.000000000000000e+00,1.176375559716146e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.021344463975968e-01,1.103143684135383e+01,3.513020402237583e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.808860144236354e-02,7.386040319200760e-03,1.931951672379655e-14,3.771803479536721e-03,2.377885715099337e-03,2.050646742447425e-14,3.882536436515433e-03,2.215478380417912e-03,1.401611997608770e-14,false
1,1.000000000000000e+02,7.269914469404012e+05,0,3,CONTINUE,1.000000000000000e+00,1.173158214095062e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.024459051986595e-01,1.103143684135383e+01,3.513020402237583e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.757080194478811e-03,2.350850567035323e-03,6.727737588522094e-14,1.230970922192599e-03,7.739580004630930e-04,7.323738365883661e-14,1.242381272577843e-03,7.113787538650385e-04,4.251714231935521e-14,false
1,3.162000000000000e+02,7.269914469404012e+05,0,3,CONTINUE,1.000000000000000e+00,1.172113219441147e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.025472205091032e-01,1.103143684135383e+01,3.513020402237583e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.824489699518677e-03,7.450211760353653e-04,1.650366559346542e-13,3.932016036148886e-04,2.470409856774047e-04,1.914778768625169e-13,3.944108070281410e-04,2.260837175370733e-04,1.117454105796262e-13,false
1,1.000000000000000e+03,7.269914469404012e+05,0,3,CONTINUE,1.000000000000000e+00,1.171779888794493e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.025795530758972e-01,1.103143684135383e+01,3.513020402237583e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.772829191006610e-04,2.357313014762497e-04,7.407582543037915e-13,1.247225865526659e-04,7.834376118887043e-05,5.297840808258877e-13,1.248637205958274e-04,7.159901264297552e-05,3.209565203172946e-13,false
1,3.162000000000000e+03,7.269914469404012e+05,0,3,CONTINUE,1.000000000000000e+00,1.171674215006879e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.025898047853741e-01,1.103143684135383e+01,3.513020402237583e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.826068782945530e-04,7.456690153695433e-05,1.787497246680157e-12,3.948349849000393e-05,2.479965447377275e-05,2.271697369745976e-12,3.950397329062013e-05,2.265473974100152e-05,1.231486606223338e-12,false
1,1.000000000000000e+04,7.269914469404012e+05,0,3,CONTINUE,1.000000000000000e+00,1.171640764000254e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.025930501119778e-01,1.103143684135383e+01,3.513020402237583e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,5.774409237081198e-05,2.357961209931148e-05,6.995836921253891e-12,1.248861376439966e-05,7.843953733877029e-06,6.179467381889907e-12,1.249267047106066e-05,7.164545083288010e-06,2.983491343687020e-12,false
1,3.162000000000000e+04,7.269914469404012e+05,0,3,CONTINUE,1.000000000000000e+00,1.171630184791430e-01,0.000000000000000e+00,1.000000000000000e-01,1.147904786827258e-13,2.191290639365295e+01,9.025940764930771e-01,1.103143684135383e+01,3.513020402237583e+00,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1,0,0,REACHED_FORCE,1.826226854537626e-05,7.457338611516207e-06,2.460518497380593e-11,3.949986413202068e-06,2.480924128800410e-06,2.178211112218982e-11,3.951027606128110e-06,2.265938685880320e-06,1.615221454184880e-11,false
