iter,alpha,state,ncraig,ipm_status,mu,mu_next,rho,force_tol,floor_tol,sigma2min,sigma2max,ritz_beta,ritz_gap,step,tau,kappa,norm_dp,norm_dy,norm_y,hdiag_min,hdiag_max,pstat,cstat,wstat,pbase,prefn,ppass,cbase,crefn,cpass,wbase,wrefn,wpass,pres0,pres1,cres0,cres1,wres0,wres1,r0_p,r0_c,r0_w,craig_p,craig_c,craig_w,r1_p,r1_c,r1_w,p_res0_dual,p_res0_prim,c_res0_dual,c_res0_prim,w_res0_dual,w_res0_prim,p_res_exit,c_res_exit,w_res_exit,Ldiag_min,Ldiag_max,ipm_pres,ipm_dres,bar_hdiag_med,bar_hdiag_frac_mid,chosen
1,1.000000e+00,0,5,CONTINUE,1.000000e+00,6.217340e-02,1.000000e-09,1.000000e-01,1.776357e-13,4.405499e-35,1.294428e+01,4.294834e-01,1.398712e-01,9.900000e-01,,,8.050163e+00,1.814226e+01,1.796083e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,4,0,0,1,0,0,,,,4.808746e-02,NaN,1.575531e-02,NaN,,,3.014430e+00,4.608646e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.484153e-01,4.608646e-02,,3.873149e-16,4.808746e-02,6.607137e-16,1.575531e-02,,,4.808746e-02,1.575531e-02,,1.000000e+00,1.732051e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+00,0,4,CONTINUE,1.000000e+00,6.382395e-02,1.000000e-09,1.000000e-01,1.776357e-13,1.740912e-35,1.294428e+01,1.896666e-04,3.395825e-01,9.900000e-01,,,8.028921e+00,1.808868e+01,1.790780e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,1,0,0,,,,7.565755e-03,NaN,9.062866e-03,NaN,,,2.045285e+00,3.128838e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,6.620433e-02,3.128838e-02,,2.187190e-15,7.565755e-03,1.594826e-15,9.062866e-03,,,7.565755e-03,9.062866e-03,,5.623660e-01,1.521925e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+01,0,4,CONTINUE,1.000000e+00,6.610426e-02,1.000000e-09,1.000000e-01,1.776357e-13,1.855051e-36,1.294428e+01,8.355911e-05,6.192168e-01,9.900000e-01,,,8.000292e+00,1.801897e+01,1.783878e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,3,0,0,1,0,0,,,,3.194514e-04,NaN,4.571557e-03,NaN,,,1.139955e+00,1.777136e-02,,solution good enough for the tolerances given,solution good enough for the tolerances given,,2.777754e-03,1.777136e-02,,4.009849e-15,3.194514e-04,3.576967e-15,4.571557e-03,,,3.194514e-04,4.571557e-03,,3.162278e-01,1.449138e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+01,0,3,CONTINUE,1.000000e+00,6.797970e-02,1.000000e-09,1.000000e-01,1.776357e-13,NaN,1.294428e+01,1.134052e-05,8.371849e-01,9.900000e-01,,,7.977082e+00,1.794943e+01,1.776993e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,2.788506e-03,NaN,1.850812e-03,NaN,,,4.833549e-01,7.461557e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.289996e-02,7.461557e-03,,8.019697e-15,2.788506e-03,9.136075e-15,1.850812e-03,,,2.788506e-03,1.850812e-03,,1.778357e-01,1.425351e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+02,0,3,CONTINUE,1.000000e+00,6.893353e-02,1.000000e-09,1.000000e-01,1.776357e-13,NaN,1.294428e+01,5.002717e-06,9.420681e-01,9.900000e-01,,,7.965983e+00,1.792785e+01,1.774857e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,2,0,0,1,0,0,,,,2.905855e-04,NaN,6.508331e-04,NaN,,,1.715896e-01,2.678644e-03,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.323833e-03,2.678644e-03,,3.390145e-14,2.905855e-04,3.444824e-14,6.508331e-04,,,2.905855e-04,6.508331e-04,,1.000000e-01,1.417745e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+02,0,2,CONTINUE,1.000000e+00,6.526795e-02,1.000000e-09,1.000000e-01,1.776357e-13,3.903474e-38,1.294428e+01,6.198894e-05,9.809231e-01,9.900000e-01,,,7.975368e+00,1.767106e+01,1.749435e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.360542e-02,NaN,1.489364e-04,NaN,,,5.646555e-02,5.827613e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.646555e-02,5.827613e-04,,6.780289e-14,1.360542e-02,2.184456e-13,1.489364e-04,,,1.360542e-02,1.489364e-04,,5.623660e-02,1.415331e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,true
1,1.000000e+03,0,2,CONTINUE,1.000000e+00,6.808124e-02,1.000000e-09,1.000000e-01,1.776357e-13,2.899513e-44,1.294428e+01,1.065065e-01,9.825445e-01,9.900000e-01,,,7.964887e+00,1.783377e+01,1.765544e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,4.351627e-03,NaN,6.196863e-05,NaN,,,1.808654e-02,2.535444e-04,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.808654e-02,2.535444e-04,,3.834873e-13,4.351627e-03,2.970478e-13,6.196863e-05,,,4.351627e-03,6.196863e-05,,3.162278e-02,1.414567e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+03,0,2,CONTINUE,1.000000e+00,6.900444e-02,1.000000e-09,1.000000e-01,1.776357e-13,NaN,1.294428e+01,9.990199e-01,1.823662e-05,9.900000e-01,,,7.961462e+00,1.788699e+01,1.770812e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.381271e-03,NaN,2.105620e-05,NaN,,,5.743588e-03,8.698262e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.743588e-03,8.698262e-05,,1.778550e-12,1.381271e-03,2.474350e-12,2.105620e-05,,,1.381271e-03,2.105620e-05,,1.778357e-02,1.414325e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,false
1,1.000000e+04,0,2,CONTINUE,1.000000e+00,6.929973e-02,1.000000e-09,1.000000e-01,1.776357e-13,NaN,1.294423e+01,9.996927e-01,2.263168e-12,9.900000e-01,,,7.960368e+00,1.790398e+01,1.772494e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,4.372650e-04,NaN,6.803233e-06,NaN,,,1.818498e-03,2.818070e-05,,solution good enough for the tolerances given,solution good enough for the tolerances given,,1.818498e-03,2.818070e-05,,3.040946e-12,4.372650e-04,2.174272e-12,6.803233e-06,,,4.372650e-04,6.803233e-06,,1.000000e-02,1.414249e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,false
1,3.162000e+04,0,2,CONTINUE,1.000000e+00,6.939373e-02,1.000000e-09,1.000000e-01,1.776357e-13,2.520409e-58,1.294413e+01,9.999028e-01,3.452468e-19,9.900000e-01,,,7.960021e+00,1.790942e+01,1.773033e+01,1.000000e+00,1.000000e+00,REACHED_FORCE,REACHED_FORCE,,1,0,0,1,0,0,,,,1.383383e-04,NaN,2.165706e-06,NaN,,,5.753479e-04,8.978383e-06,,solution good enough for the tolerances given,solution good enough for the tolerances given,,5.753479e-04,8.978383e-06,,9.477118e-12,1.383383e-04,6.917604e-12,2.165706e-06,,,1.383383e-04,2.165706e-06,,5.623660e-03,1.414225e+00,3.500000e+00,2.000170e+00,1.000000e+00,1.000000e+00,false
